name,obs,nmiss,unique,mean,std_dev,median,mode,min,max,p1,p5,p25,p75,p95,p99,skewness,
delinq_amnt,39717,0,1,-,-,-,"0    0
dtype: object",-,-,-,-,-,-,-,-,-,
mo_sin_old_il_acct,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
mo_sin_old_rev_tl_op,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
mo_sin_rcnt_rev_tl_op,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
mo_sin_rcnt_tl,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
mort_acc,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
mths_since_recent_bc,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
mths_since_recent_bc_dlq,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
mths_since_recent_inq,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
mths_since_recent_revol_delinq,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
num_accts_ever_120_pd,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
num_actv_bc_tl,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
num_actv_rev_tl,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
num_bc_sats,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
num_bc_tl,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
num_il_tl,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
num_op_rev_tl,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
num_rev_accts,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
num_rev_tl_bal_gt_0,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
num_sats,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
num_tl_120dpd_2m,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
num_tl_30dpd,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
num_tl_90g_dpd_24m,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
num_tl_op_past_12m,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
pct_tl_nvr_dlq,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
percent_bc_gt_75,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
pub_rec_bankruptcies,39020,697,3,-,-,-,"0    0
dtype: object",-,-,-,-,-,-,-,-,-,
tax_liens,39678,39,1,-,-,-,"0    0
dtype: object",-,-,-,-,-,-,-,-,-,
tot_hi_cred_lim,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
total_bal_ex_mort,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
total_bc_limit,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
total_il_high_credit_limit,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
